################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: s267517
#     Report Created on: Thu Jan 13 16:38:48 2022
#     Working Directory: /home/s267517/assignment/riscv/gate/scan/syn/run/_snpDft_s267517.14525.0
#     Report Location  : ./sg_config/riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800/sg_dft_testpoint_analysis/spyglass_reports/dft_dsm/Info_random_resistance/000/Info_random_resistance_001.csv
#     SpyGlass Version : SpyGlass_vR-2020.12
#     Policy Name      : dft_dsm(SpyGlass_vR-2020.12)
#     Comment          : List of suggested test points to reduce random pattern coverage of the design.
#
################################################################################
#CrossProbeTag:DFT_DSM_RRF_TP_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1
##Sheet_Prop: column_width:2@@30%,3@@30%

TagId,"Testpoint Node","Type"
140,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n1037","observe"
141,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n3407","control-0"
142,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n7551","control-1"
143,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n6624","control-1"
144,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n1551","observe"
145,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.illegal_insn_dec","control-0"
146,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n400","observe"
147,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n5662","control-0"
148,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.trap_addr_mux","control-1"
149,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n10256","control-1"
150,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n4798","observe"
151,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n9911","control-1"
152,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n6048","observe"
